pair_id,SS,LL,SA1,SA0,p0_events,p1_events,num_events,p0_caption,p1_caption,p0,p1,LA1,SB0,LB0,LA0,SB1,LB1,currency,p0_label,p1_label
CA1,7,21,20,450,1,9,10,10% chance of,90% chance of,0.1,0.9,450,450,450,20,20,20,R,1,2 to 10
CA2,7,21,20,450,2,8,10,20% chance of,80% chance of,0.2,0.8,450,450,450,20,20,20,R,1 to 2,3 to 10
CA3,7,21,20,450,3,7,10,30% chance of,70% chance of,0.3,0.7,450,450,450,20,20,20,R,1 to 3,4 to 10
CA4,7,21,20,450,4,6,10,40% chance of,60% chance of,0.4,0.6,450,450,450,20,20,20,R,1 to 4,5 to 10
CA5,7,21,20,450,5,5,10,50% chance of,50% chance of,0.5,0.5,450,450,450,20,20,20,R,1 to 5,6 to 10
CA6,7,21,20,450,6,4,10,60% chance of,40% chance of,0.6,0.4,450,450,450,20,20,20,R,1 to 6,7 to 10
CA7,7,21,20,450,7,3,10,70% chance of,30% chance of,0.7,0.3,450,450,450,20,20,20,R,1 to 7,8 to 10
CA8,7,21,20,450,8,2,10,80% chance of,20% chance of,0.8,0.2,450,450,450,20,20,20,R,1 to 8,9 to 10
CA9,7,21,20,450,9,1,10,90% chance of,10% chance of,0.9,0.1,450,450,450,20,20,20,R,1 to 9,10
CA10,7,21,20,450,7,3,10,70% chance of,30% chance of,0.7,0.3,450,450,450,20,20,20,R,1 to 7,8 to 10
CA11,7,21,10,260,1,9,10,10% chance of,90% chance of,0.1,0.9,260,260,260,10,10,10,R,1,2 to 10
CA12,7,21,10,260,2,8,10,20% chance of,80% chance of,0.2,0.8,260,260,260,10,10,10,R,1 to 2,3 to 10
CA13,7,21,10,260,3,7,10,30% chance of,70% chance of,0.3,0.7,260,260,260,10,10,10,R,1 to 3,4 to 10
CA14,7,21,10,260,4,6,10,40% chance of,60% chance of,0.4,0.6,260,260,260,10,10,10,R,1 to 4,5 to 10
CA15,7,21,10,260,5,5,10,50% chance of,50% chance of,0.5,0.5,260,260,260,10,10,10,R,1 to 5,6 to 10
CA16,7,21,10,260,6,4,10,60% chance of,40% chance of,0.6,0.4,260,260,260,10,10,10,R,1 to 6,7 to 10
CA17,7,21,10,260,7,3,10,70% chance of,30% chance of,0.7,0.3,260,260,260,10,10,10,R,1 to 7,8 to 10
CA18,7,21,10,260,8,2,10,80% chance of,20% chance of,0.8,0.2,260,260,260,10,10,10,R,1 to 8,9 to 10
CA19,7,21,10,260,9,1,10,90% chance of,10% chance of,0.9,0.1,260,260,260,10,10,10,R,1 to 9,10
CA20,7,21,10,260,8,2,10,80% chance of,20% chance of,0.8,0.2,260,260,260,10,10,10,R,1 to 8,9 to 10
CA21,7,49,20,450,1,9,10,10% chance of,90% chance of,0.1,0.9,450,450,450,20,20,20,R,1,2 to 10
CA22,7,49,20,450,2,8,10,20% chance of,80% chance of,0.2,0.8,450,450,450,20,20,20,R,1 to 2,3 to 10
CA23,7,49,20,450,3,7,10,30% chance of,70% chance of,0.3,0.7,450,450,450,20,20,20,R,1 to 3,4 to 10
CA24,7,49,20,450,4,6,10,40% chance of,60% chance of,0.4,0.6,450,450,450,20,20,20,R,1 to 4,5 to 10
CA25,7,49,20,450,5,5,10,50% chance of,50% chance of,0.5,0.5,450,450,450,20,20,20,R,1 to 5,6 to 10
CA26,7,49,20,450,6,4,10,60% chance of,40% chance of,0.6,0.4,450,450,450,20,20,20,R,1 to 6,7 to 10
CA27,7,49,20,450,7,3,10,70% chance of,30% chance of,0.7,0.3,450,450,450,20,20,20,R,1 to 7,8 to 10
CA28,7,49,20,450,8,2,10,80% chance of,20% chance of,0.8,0.2,450,450,450,20,20,20,R,1 to 8,9 to 10
CA29,7,49,20,450,9,1,10,90% chance of,10% chance of,0.9,0.1,450,450,450,20,20,20,R,1 to 9,10
CA30,7,49,20,450,6,4,10,60% chance of,40% chance of,0.6,0.4,450,450,450,20,20,20,R,1 to 6,7 to 10
CA31,7,49,10,260,1,9,10,10% chance of,90% chance of,0.1,0.9,260,260,260,10,10,10,R,1,2 to 10
CA32,7,49,10,260,2,8,10,20% chance of,80% chance of,0.2,0.8,260,260,260,10,10,10,R,1 to 2,3 to 10
CA33,7,49,10,260,3,7,10,30% chance of,70% chance of,0.3,0.7,260,260,260,10,10,10,R,1 to 3,4 to 10
CA34,7,49,10,260,4,6,10,40% chance of,60% chance of,0.4,0.6,260,260,260,10,10,10,R,1 to 4,5 to 10
CA35,7,49,10,260,5,5,10,50% chance of,50% chance of,0.5,0.5,260,260,260,10,10,10,R,1 to 5,6 to 10
CA36,7,49,10,260,6,4,10,60% chance of,40% chance of,0.6,0.4,260,260,260,10,10,10,R,1 to 6,7 to 10
CA37,7,49,10,260,7,3,10,70% chance of,30% chance of,0.7,0.3,260,260,260,10,10,10,R,1 to 7,8 to 10
CA38,7,49,10,260,8,2,10,80% chance of,20% chance of,0.8,0.2,260,260,260,10,10,10,R,1 to 8,9 to 10
CA39,7,49,10,260,9,1,10,90% chance of,10% chance of,0.9,0.1,260,260,260,10,10,10,R,1 to 9,10
CA40,7,49,10,260,7,3,10,70% chance of,30% chance of,0.7,0.3,260,260,260,10,10,10,R,1 to 7,8 to 10
