pair_id,SS,LL,SA1,SA0,p0_events,p1_events,num_events,p0_caption,p1_caption,p0,p1,LA1,SB0,LB0,LA0,SB1,LB1,currency,p0_label,p1_label
CA1,7,21,2,45,1,9,10,10% chance of,90% chance of,0.1,0.89999998,45,45,45,2,2,2,$,1,2 to 10
CA2,7,21,2,45,2,8,10,20% chance of,80% chance of,0.2,0.80000001,45,45,45,2,2,2,$,1 to 2,3 to 10
CA3,7,21,2,45,3,7,10,30% chance of,70% chance of,0.30000001,0.69999999,45,45,45,2,2,2,$,1 to 3,4 to 10
CA4,7,21,2,45,4,6,10,40% chance of,60% chance of,0.40000001,0.60000002,45,45,45,2,2,2,$,1 to 4,5 to 10
CA5,7,21,2,45,5,5,10,50% chance of,50% chance of,0.5,0.5,45,45,45,2,2,2,$,1 to 5,6 to 10
CA6,7,21,2,45,6,4,10,60% chance of,40% chance of,0.60000002,0.40000001,45,45,45,2,2,2,$,1 to 6,7 to 10
CA7,7,21,2,45,7,3,10,70% chance of,30% chance of,0.69999999,0.30000001,45,45,45,2,2,2,$,1 to 7,8 to 10
CA8,7,21,2,45,8,2,10,80% chance of,20% chance of,0.80000001,0.2,45,45,45,2,2,2,$,1 to 8,9 to 10
CA9,7,21,2,45,9,1,10,90% chance of,10% chance of,0.89999998,0.1,45,45,45,2,2,2,$,1 to 9,10
CA10,7,21,2,45,7,3,10,70% chance of,30% chance of,0.69999999,0.30000001,45,45,45,2,2,2,$,1 to 7,8 to 10
CA11,7,21,1,26,1,9,10,10% chance of,90% chance of,0.1,0.89999998,26,26,26,1,1,1,$,1,2 to 10
CA12,7,21,1,26,2,8,10,20% chance of,80% chance of,0.2,0.80000001,26,26,26,1,1,1,$,1 to 2,3 to 10
CA13,7,21,1,26,3,7,10,30% chance of,70% chance of,0.30000001,0.69999999,26,26,26,1,1,1,$,1 to 3,4 to 10
CA14,7,21,1,26,4,6,10,40% chance of,60% chance of,0.40000001,0.60000002,26,26,26,1,1,1,$,1 to 4,5 to 10
CA15,7,21,1,26,5,5,10,50% chance of,50% chance of,0.5,0.5,26,26,26,1,1,1,$,1 to 5,6 to 10
CA16,7,21,1,26,6,4,10,60% chance of,40% chance of,0.60000002,0.40000001,26,26,26,1,1,1,$,1 to 6,7 to 10
CA17,7,21,1,26,7,3,10,70% chance of,30% chance of,0.69999999,0.30000001,26,26,26,1,1,1,$,1 to 7,8 to 10
CA18,7,21,1,26,8,2,10,80% chance of,20% chance of,0.80000001,0.2,26,26,26,1,1,1,$,1 to 8,9 to 10
CA19,7,21,1,26,9,1,10,90% chance of,10% chance of,0.89999998,0.1,26,26,26,1,1,1,$,1 to 9,10
CA20,7,21,1,26,8,2,10,80% chance of,20% chance of,0.80000001,0.2,26,26,26,1,1,1,$,1 to 8,9 to 10
CA21,7,49,2,45,1,9,10,10% chance of,90% chance of,0.1,0.89999998,45,45,45,2,2,2,$,1,2 to 10
CA22,7,49,2,45,2,8,10,20% chance of,80% chance of,0.2,0.80000001,45,45,45,2,2,2,$,1 to 2,3 to 10
CA23,7,49,2,45,3,7,10,30% chance of,70% chance of,0.30000001,0.69999999,45,45,45,2,2,2,$,1 to 3,4 to 10
CA24,7,49,2,45,4,6,10,40% chance of,60% chance of,0.40000001,0.60000002,45,45,45,2,2,2,$,1 to 4,5 to 10
CA25,7,49,2,45,5,5,10,50% chance of,50% chance of,0.5,0.5,45,45,45,2,2,2,$,1 to 5,6 to 10
CA26,7,49,2,45,6,4,10,60% chance of,40% chance of,0.60000002,0.40000001,45,45,45,2,2,2,$,1 to 6,7 to 10
CA27,7,49,2,45,7,3,10,70% chance of,30% chance of,0.69999999,0.30000001,45,45,45,2,2,2,$,1 to 7,8 to 10
CA28,7,49,2,45,8,2,10,80% chance of,20% chance of,0.80000001,0.2,45,45,45,2,2,2,$,1 to 8,9 to 10
CA29,7,49,2,45,9,1,10,90% chance of,10% chance of,0.89999998,0.1,45,45,45,2,2,2,$,1 to 9,10
CA30,7,49,2,45,6,4,10,60% chance of,40% chance of,0.60000002,0.40000001,45,45,45,2,2,2,$,1 to 6,7 to 10
CA31,7,49,1,26,1,9,10,10% chance of,90% chance of,0.1,0.89999998,26,26,26,1,1,1,$,1,2 to 10
CA32,7,49,1,26,2,8,10,20% chance of,80% chance of,0.2,0.80000001,26,26,26,1,1,1,$,1 to 2,3 to 10
CA33,7,49,1,26,3,7,10,30% chance of,70% chance of,0.30000001,0.69999999,26,26,26,1,1,1,$,1 to 3,4 to 10
CA34,7,49,1,26,4,6,10,40% chance of,60% chance of,0.40000001,0.60000002,26,26,26,1,1,1,$,1 to 4,5 to 10
CA35,7,49,1,26,5,5,10,50% chance of,50% chance of,0.5,0.5,26,26,26,1,1,1,$,1 to 5,6 to 10
CA36,7,49,1,26,6,4,10,60% chance of,40% chance of,0.60000002,0.40000001,26,26,26,1,1,1,$,1 to 6,7 to 10
CA37,7,49,1,26,7,3,10,70% chance of,30% chance of,0.69999999,0.30000001,26,26,26,1,1,1,$,1 to 7,8 to 10
CA38,7,49,1,26,8,2,10,80% chance of,20% chance of,0.80000001,0.2,26,26,26,1,1,1,$,1 to 8,9 to 10
CA39,7,49,1,26,9,1,10,90% chance of,10% chance of,0.89999998,0.1,26,26,26,1,1,1,$,1 to 9,10
CA40,7,49,1,26,7,3,10,70% chance of,30% chance of,0.69999999,0.30000001,26,26,26,1,1,1,$,1 to 7,8 to 10
