pA0,pA0_events,pA1,pA1_events,pA2,pA2_events,A0,A1,A2,pB0,pB0_events,pB1,pB1_events,pB2,pB2_events,B0,B1,B2,num_events,luid,lgid,label_A0,caption_A0,label_A1,caption_A1,label_A2,caption_A2,label_B0,caption_B0,label_B1,caption_B1,label_B2,caption_B2,currency_symbol,A_don,B_don,A_top,B_top
0.50,50,0.50,50,0.00,0,0,60,120,0.50,50,0.50,50,0.00,0,0,60,120,100,rdon1,1,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,1,,Double or nothing if number is 51 to 100
0.00,0,1.00,100,0.00,0,0,60,120,0.50,50,0.50,50,0.00,0,0,60,120,100,rdon2,1,,,100 in 100,number is 1 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,1,,Double or nothing if number is 51 to 100
0.00,0,1.00,100,0.00,0,0,60,210,0.00,0,0.50,50,0.50,50,0,30,105,100,rdon3,1,,,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,R,-1,.5,,Double or nothing if any number
0.25,25,0.75,75,0.00,0,0,60,420,0.00,0,1.00,100,0.00,0,0,210,420,100,rdon4,1,25 in 100,number is 1 to 25,75 in 100,number is 26 to 100,,,,,100 in 100,number is 1 to 100,,,R,-1,.5,,Double or nothing if any number
0.00,0,1.00,100,0.00,0,0,60,420,0.00,0,1.00,100,0.00,0,0,210,420,100,rdon5,1,,,100 in 100,number is 1 to 100,,,,,100 in 100,number is 1 to 100,,,R,-1,.5,,Double or nothing if any number
0.00,0,1.00,100,0.00,0,0,120,210,0.00,0,0.50,50,0.50,50,0,60,210,100,rdon6,1,,,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,R,-1,1,,Double or nothing if number is 1 to 50
0.00,0,0.50,50,0.50,50,0,120,420,0.00,0,0.50,50,0.50,50,0,210,420,100,rdon7,1,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,R,-1,1,,Double or nothing if number is 1 to 50
0.00,0,1.00,100,0.00,0,0,210,420,0.00,0,0.50,50,0.50,50,0,210,420,100,rdon8,1,,,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,R,-1,1,,Double or nothing if number is 1 to 50
0.00,0,0.50,50,0.50,50,0,120,210,0.50,50,0.00,0,0.50,50,0,120,420,100,rdon9,1,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,R,2,-1,Double or nothing if number is 51 to 100,
0.00,0,0.75,75,0.25,25,0,210,420,0.00,0,1.00,100,0.00,0,0,210,420,100,rdon10,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,,,100 in 100,number is 1 to 100,,,R,-1,.5,,Double or nothing if any number
