pA0,pA0_events,pA1,pA1_events,pA2,pA2_events,A0,A1,A2,pB0,pB0_events,pB1,pB1_events,pB2,pB2_events,B0,B1,B2,num_events,luid,lgid,label_A0,caption_A0,label_A1,caption_A1,label_A2,caption_A2,label_B0,caption_B0,label_B1,caption_B1,label_B2,caption_B2,currency_symbol,A_don,B_don,A_top,B_top
0.5,50,0.5,50,0,0,0,6,12,0.5,50,0.5,50,0,0,0,6,12,100,rdon1,1,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,1,,Double or nothing if number is 51 to 100
0,0,1,100,0,0,0,6,12,0.5,50,0.5,50,0,0,0,6,12,100,rdon2,1,,,100 in 100,number is 1 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,1,,Double or nothing if number is 51 to 100
0,0,1,100,0,0,0,6,21,0,0,0.5,50,0.5,50,0,3,10.5,100,rdon3,1,,,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,$,-1,0.5,,Double or nothing if any number
0.25,25,0.75,75,0,0,0,6,42,0,0,1,100,0,0,0,21,42,100,rdon4,1,25 in 100,number is 1 to 25,75 in 100,number is 26 to 100,,,,,100 in 100,number is 1 to 100,,,$,-1,0.5,,Double or nothing if any number
0,0,1,100,0,0,0,6,42,0,0,1,100,0,0,0,21,42,100,rdon5,1,,,100 in 100,number is 1 to 100,,,,,100 in 100,number is 1 to 100,,,$,-1,0.5,,Double or nothing if any number
0,0,1,100,0,0,0,12,21,0,0,0.5,50,0.5,50,0,6,21,100,rdon6,1,,,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,$,-1,1,,Double or nothing if number is 1 to 50
0,0,0.5,50,0.5,50,0,12,42,0,0,0.5,50,0.5,50,0,21,42,100,rdon7,1,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,$,-1,1,,Double or nothing if number is 1 to 50
0,0,1,100,0,0,0,21,42,0,0,0.5,50,0.5,50,0,21,42,100,rdon8,1,,,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,$,-1,1,,Double or nothing if number is 1 to 50
0,0,0.5,50,0.5,50,0,12,21,0.5,50,0,0,0.5,50,0,12,42,100,rdon9,1,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,$,2,-1,Double or nothing if number is 51 to 100,
0,0,0.75,75,0.25,25,0,21,42,0,0,1,100,0,0,0,21,42,100,rdon10,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,,,100 in 100,number is 1 to 100,,,$,-1,0.5,,Double or nothing if any number
0,0,1,100,0,0,0,12,42,0,0,0.5,50,0.5,50,0,12,21,100,rdon11,1,,,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,$,-1,2,,Double or nothing if number is 51 to 100
0,0,0.75,75,0.25,25,0,21,42,0,0,0.5,50,0.5,50,0,21,42,100,rdon12,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,$,-1,1,,Double or nothing if number is 1 to 50
0.25,25,0.75,75,0,0,0,6,21,0.5,50,0.5,50,0,0,0,10.5,21,100,rdon13,1,25 in 100,number is 1 to 25,75 in 100,number is 26 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,1,,Double or nothing if number is 51 to 100
0,0,0.75,75,0.25,25,0,12,21,0,0,0.5,50,0.5,50,0,10.5,21,100,rdon14,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,$,-1,1,,Double or nothing if number is 1 to 50
0,0,0.75,75,0.25,25,0,12,42,0,0,0.5,50,0.5,50,0,21,42,100,rdon15,1,,,75 in 100,number is 1 to 75,25 in 100,number is 76 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,$,-1,1,,Double or nothing if number is 1 to 50
