pair_id,SS_amount,LL_amount,SS_delay,LL_delay,currency,block_id
d_0FED_1,250,260,0,7,R,1
d_0FED_2,250,270,0,7,R,1
d_0FED_3,250,280,0,7,R,1
d_0FED_4,250,290,0,7,R,1
d_0FED_5,250,300,0,7,R,1
d_0FED_6,250,260,0,14,R,2
d_0FED_7,250,270,0,14,R,2
d_0FED_8,250,280,0,14,R,2
d_0FED_9,250,290,0,14,R,2
d_0FED_10,250,300,0,14,R,2
d_0FED_11,250,310,0,14,R,2
d_0FED_12,250,320,0,14,R,2
d_0FED_13,250,330,0,14,R,2
d_0FED_14,250,340,0,14,R,2
d_0FED_15,250,260,0,42,R,3
d_0FED_16,250,270,0,42,R,3
d_0FED_17,250,280,0,42,R,3
d_0FED_18,250,290,0,42,R,3
d_0FED_19,250,300,0,42,R,3
d_0FED_20,250,310,0,42,R,3
d_0FED_21,250,320,0,42,R,3
d_0FED_22,250,330,0,42,R,3
d_0FED_23,250,340,0,42,R,3
d_0FED_24,250,350,0,42,R,3
d_0FED_25,250,360,0,42,R,3
d_0FED_26,250,370,0,42,R,3
d_0FED_27,250,380,0,42,R,3
d_0FED_28,250,390,0,42,R,3
d_0FED_29,250,260,0,84,R,4
d_0FED_30,250,270,0,84,R,4
d_0FED_31,250,280,0,84,R,4
d_0FED_32,250,290,0,84,R,4
d_0FED_33,250,300,0,84,R,4
d_0FED_34,250,310,0,84,R,4
d_0FED_35,250,320,0,84,R,4
d_0FED_36,250,330,0,84,R,4
d_0FED_37,250,340,0,84,R,4
d_0FED_38,250,350,0,84,R,4
d_0FED_39,250,360,0,84,R,4
d_0FED_40,250,370,0,84,R,4
d_0FED_41,250,380,0,84,R,4
d_0FED_42,250,390,0,84,R,4
d_7FED_1,250,260,7,14,R,5
d_7FED_2,250,270,7,14,R,5
d_7FED_3,250,280,7,14,R,5
d_7FED_4,250,290,7,14,R,5
d_7FED_5,250,300,7,14,R,5
d_7FED_6,250,260,7,21,R,6
d_7FED_7,250,270,7,21,R,6
d_7FED_8,250,280,7,21,R,6
d_7FED_9,250,290,7,21,R,6
d_7FED_10,250,300,7,21,R,6
d_7FED_11,250,310,7,21,R,6
d_7FED_12,250,320,7,21,R,6
d_7FED_13,250,330,7,21,R,6
d_7FED_14,250,340,7,21,R,6
d_7FED_15,250,260,7,49,R,7
d_7FED_16,250,270,7,49,R,7
d_7FED_17,250,280,7,49,R,7
d_7FED_18,250,290,7,49,R,7
d_7FED_19,250,300,7,49,R,7
d_7FED_20,250,310,7,49,R,7
d_7FED_21,250,320,7,49,R,7
d_7FED_22,250,330,7,49,R,7
d_7FED_23,250,340,7,49,R,7
d_7FED_24,250,350,7,49,R,7
d_7FED_25,250,360,7,49,R,7
d_7FED_26,250,370,7,49,R,7
d_7FED_27,250,380,7,49,R,7
d_7FED_28,250,390,7,49,R,7
d_7FED_29,250,260,7,91,R,8
d_7FED_30,250,270,7,91,R,8
d_7FED_31,250,280,7,91,R,8
d_7FED_32,250,290,7,91,R,8
d_7FED_33,250,300,7,91,R,8
d_7FED_34,250,310,7,91,R,8
d_7FED_35,250,320,7,91,R,8
d_7FED_36,250,330,7,91,R,8
d_7FED_37,250,340,7,91,R,8
d_7FED_38,250,350,7,91,R,8
d_7FED_39,250,360,7,91,R,8
d_7FED_40,250,370,7,91,R,8
d_7FED_41,250,380,7,91,R,8
d_7FED_42,250,390,7,91,R,8
d_14FED_1,250,260,14,21,R,9
d_14FED_2,250,270,14,21,R,9
d_14FED_3,250,280,14,21,R,9
d_14FED_4,250,290,14,21,R,9
d_14FED_5,250,300,14,21,R,9
d_14FED_6,250,260,14,28,R,10
d_14FED_7,250,270,14,28,R,10
d_14FED_8,250,280,14,28,R,10
d_14FED_9,250,290,14,28,R,10
d_14FED_10,250,300,14,28,R,10
d_14FED_11,250,310,14,28,R,10
d_14FED_12,250,320,14,28,R,10
d_14FED_13,250,330,14,28,R,10
d_14FED_14,250,340,14,28,R,10
d_14FED_15,250,260,14,56,R,11
d_14FED_16,250,270,14,56,R,11
d_14FED_17,250,280,14,56,R,11
d_14FED_18,250,290,14,56,R,11
d_14FED_19,250,300,14,56,R,11
d_14FED_20,250,310,14,56,R,11
d_14FED_21,250,320,14,56,R,11
d_14FED_22,250,330,14,56,R,11
d_14FED_23,250,340,14,56,R,11
d_14FED_24,250,350,14,56,R,11
d_14FED_25,250,360,14,56,R,11
d_14FED_26,250,370,14,56,R,11
d_14FED_27,250,380,14,56,R,11
d_14FED_28,250,390,14,56,R,11
d_14FED_29,250,260,14,98,R,12
d_14FED_30,250,270,14,98,R,12
d_14FED_31,250,280,14,98,R,12
d_14FED_32,250,290,14,98,R,12
d_14FED_33,250,300,14,98,R,12
d_14FED_34,250,310,14,98,R,12
d_14FED_35,250,320,14,98,R,12
d_14FED_36,250,330,14,98,R,12
d_14FED_37,250,340,14,98,R,12
d_14FED_38,250,350,14,98,R,12
d_14FED_39,250,360,14,98,R,12
d_14FED_40,250,370,14,98,R,12
d_14FED_41,250,380,14,98,R,12
d_14FED_42,250,390,14,98,R,12
d_0FED_43,400,410,0,7,R,13
d_0FED_44,400,420,0,7,R,13
d_0FED_45,400,430,0,7,R,13
d_0FED_46,400,440,0,7,R,13
d_0FED_47,400,450,0,7,R,13
d_0FED_48,400,460,0,7,R,13
d_0FED_49,400,470,0,7,R,13
d_0FED_50,400,480,0,7,R,13
d_0FED_51,400,410,0,14,R,14
d_0FED_52,400,420,0,14,R,14
d_0FED_53,400,430,0,14,R,14
