pair_id,SS_amount,LL_amount,SS_delay,LL_delay,currency,block_id
d_0FED_1,25,26,0,7,$,1
d_0FED_2,25,27,0,7,$,1
d_0FED_3,25,28,0,7,$,1
d_0FED_4,25,29,0,7,$,1
d_0FED_5,25,30,0,7,$,1
d_0FED_6,25,26,0,14,$,2
d_0FED_7,25,27,0,14,$,2
d_0FED_8,25,28,0,14,$,2
d_0FED_9,25,29,0,14,$,2
d_0FED_10,25,30,0,14,$,2
d_0FED_11,25,31,0,14,$,2
d_0FED_12,25,32,0,14,$,2
d_0FED_13,25,33,0,14,$,2
d_0FED_14,25,34,0,14,$,2
d_0FED_15,25,26,0,42,$,3
d_0FED_16,25,27,0,42,$,3
d_0FED_17,25,28,0,42,$,3
d_0FED_18,25,29,0,42,$,3
d_0FED_19,25,30,0,42,$,3
d_0FED_20,25,31,0,42,$,3
d_0FED_21,25,32,0,42,$,3
d_0FED_22,25,33,0,42,$,3
d_0FED_23,25,34,0,42,$,3
d_0FED_24,25,35,0,42,$,3
d_0FED_25,25,36,0,42,$,3
d_0FED_26,25,37,0,42,$,3
d_0FED_27,25,38,0,42,$,3
d_0FED_28,25,39,0,42,$,3
d_0FED_29,25,26,0,84,$,4
d_0FED_30,25,27,0,84,$,4
d_0FED_31,25,28,0,84,$,4
d_0FED_32,25,29,0,84,$,4
d_0FED_33,25,30,0,84,$,4
d_0FED_34,25,31,0,84,$,4
d_0FED_35,25,32,0,84,$,4
d_0FED_36,25,33,0,84,$,4
d_0FED_37,25,34,0,84,$,4
d_0FED_38,25,35,0,84,$,4
d_0FED_39,25,36,0,84,$,4
d_0FED_40,25,37,0,84,$,4
d_0FED_41,25,38,0,84,$,4
d_0FED_42,25,39,0,84,$,4
d_7FED_1,25,26,7,14,$,5
d_7FED_2,25,27,7,14,$,5
d_7FED_3,25,28,7,14,$,5
d_7FED_4,25,29,7,14,$,5
d_7FED_5,25,30,7,14,$,5
d_7FED_6,25,26,7,21,$,6
d_7FED_7,25,27,7,21,$,6
d_7FED_8,25,28,7,21,$,6
d_7FED_9,25,29,7,21,$,6
d_7FED_10,25,30,7,21,$,6
d_7FED_11,25,31,7,21,$,6
d_7FED_12,25,32,7,21,$,6
d_7FED_13,25,33,7,21,$,6
d_7FED_14,25,34,7,21,$,6
d_7FED_15,25,26,7,49,$,7
d_7FED_16,25,27,7,49,$,7
d_7FED_17,25,28,7,49,$,7
d_7FED_18,25,29,7,49,$,7
d_7FED_19,25,30,7,49,$,7
d_7FED_20,25,31,7,49,$,7
d_7FED_21,25,32,7,49,$,7
d_7FED_22,25,33,7,49,$,7
d_7FED_23,25,34,7,49,$,7
d_7FED_24,25,35,7,49,$,7
d_7FED_25,25,36,7,49,$,7
d_7FED_26,25,37,7,49,$,7
d_7FED_27,25,38,7,49,$,7
d_7FED_28,25,39,7,49,$,7
d_7FED_29,25,26,7,91,$,8
d_7FED_30,25,27,7,91,$,8
d_7FED_31,25,28,7,91,$,8
d_7FED_32,25,29,7,91,$,8
d_7FED_33,25,30,7,91,$,8
d_7FED_34,25,31,7,91,$,8
d_7FED_35,25,32,7,91,$,8
d_7FED_36,25,33,7,91,$,8
d_7FED_37,25,34,7,91,$,8
d_7FED_38,25,35,7,91,$,8
d_7FED_39,25,36,7,91,$,8
d_7FED_40,25,37,7,91,$,8
d_7FED_41,25,38,7,91,$,8
d_7FED_42,25,39,7,91,$,8
d_14FED_1,25,26,14,21,$,9
d_14FED_2,25,27,14,21,$,9
d_14FED_3,25,28,14,21,$,9
d_14FED_4,25,29,14,21,$,9
d_14FED_5,25,30,14,21,$,9
d_14FED_6,25,26,14,28,$,10
d_14FED_7,25,27,14,28,$,10
d_14FED_8,25,28,14,28,$,10
d_14FED_9,25,29,14,28,$,10
d_14FED_10,25,30,14,28,$,10
d_14FED_11,25,31,14,28,$,10
d_14FED_12,25,32,14,28,$,10
d_14FED_13,25,33,14,28,$,10
d_14FED_14,25,34,14,28,$,10
d_14FED_15,25,26,14,56,$,11
d_14FED_16,25,27,14,56,$,11
d_14FED_17,25,28,14,56,$,11
d_14FED_18,25,29,14,56,$,11
d_14FED_19,25,30,14,56,$,11
d_14FED_20,25,31,14,56,$,11
d_14FED_21,25,32,14,56,$,11
d_14FED_22,25,33,14,56,$,11
d_14FED_23,25,34,14,56,$,11
d_14FED_24,25,35,14,56,$,11
d_14FED_25,25,36,14,56,$,11
d_14FED_26,25,37,14,56,$,11
d_14FED_27,25,38,14,56,$,11
d_14FED_28,25,39,14,56,$,11
d_14FED_29,25,26,14,98,$,12
d_14FED_30,25,27,14,98,$,12
d_14FED_31,25,28,14,98,$,12
d_14FED_32,25,29,14,98,$,12
d_14FED_33,25,30,14,98,$,12
d_14FED_34,25,31,14,98,$,12
d_14FED_35,25,32,14,98,$,12
d_14FED_36,25,33,14,98,$,12
d_14FED_37,25,34,14,98,$,12
d_14FED_38,25,35,14,98,$,12
d_14FED_39,25,36,14,98,$,12
d_14FED_40,25,37,14,98,$,12
d_14FED_41,25,38,14,98,$,12
d_14FED_42,25,39,14,98,$,12
d_0FED_43,40,41,0,7,$,13
d_0FED_44,40,42,0,7,$,13
d_0FED_45,40,43,0,7,$,13
d_0FED_46,40,44,0,7,$,13
d_0FED_47,40,45,0,7,$,13
d_0FED_48,40,46,0,7,$,13
d_0FED_49,40,47,0,7,$,13
d_0FED_50,40,48,0,7,$,13
d_0FED_51,40,41,0,14,$,14
d_0FED_52,40,42,0,14,$,14
d_0FED_53,40,43,0,14,$,14
d_0FED_54,40,44,0,14,$,14
d_0FED_55,40,45,0,14,$,14
d_0FED_56,40,46,0,14,$,14
d_0FED_57,40,47,0,14,$,14
d_0FED_58,40,48,0,14,$,14
d_0FED_59,40,49,0,14,$,14
d_0FED_60,40,50,0,14,$,14
d_0FED_61,40,51,0,14,$,14
d_0FED_62,40,52,0,14,$,14
d_0FED_63,40,53,0,14,$,14
d_0FED_64,40,54,0,14,$,14
d_0FED_65,40,41,0,42,$,15
d_0FED_66,40,42,0,42,$,15
d_0FED_67,40,43,0,42,$,15
d_0FED_68,40,44,0,42,$,15
d_0FED_69,40,45,0,42,$,15
d_0FED_70,40,46,0,42,$,15
d_0FED_71,40,47,0,42,$,15
d_0FED_72,40,48,0,42,$,15
d_0FED_73,40,49,0,42,$,15
d_0FED_74,40,50,0,42,$,15
d_0FED_75,40,51,0,42,$,15
d_0FED_76,40,52,0,42,$,15
d_0FED_77,40,53,0,42,$,15
d_0FED_78,40,54,0,42,$,15
d_0FED_79,40,41,0,84,$,16
d_0FED_80,40,42,0,84,$,16
d_0FED_81,40,43,0,84,$,16
d_0FED_82,40,44,0,84,$,16
d_0FED_83,40,45,0,84,$,16
d_0FED_84,40,46,0,84,$,16
d_0FED_85,40,47,0,84,$,16
d_0FED_86,40,48,0,84,$,16
d_0FED_87,40,49,0,84,$,16
d_0FED_88,40,50,0,84,$,16
d_0FED_89,40,51,0,84,$,16
d_0FED_90,40,52,0,84,$,16
d_0FED_91,40,53,0,84,$,16
d_0FED_92,40,54,0,84,$,16
d_0FED_93,40,55,0,84,$,16
d_0FED_94,40,56,0,84,$,16
d_0FED_95,40,57,0,84,$,16
d_0FED_96,40,58,0,84,$,16
d_0FED_97,40,59,0,84,$,16
d_0FED_98,40,60,0,84,$,16
d_0FED_99,40,61,0,84,$,16
d_0FED_100,40,62,0,84,$,16
d_0FED_101,40,63,0,84,$,16
d_0FED_102,40,64,0,84,$,16
d_7FED_43,40,41,7,14,$,17
d_7FED_44,40,42,7,14,$,17
d_7FED_45,40,43,7,14,$,17
d_7FED_46,40,44,7,14,$,17
d_7FED_47,40,45,7,14,$,17
d_7FED_48,40,46,7,14,$,17
d_7FED_49,40,47,7,14,$,17
d_7FED_50,40,48,7,14,$,17
d_7FED_51,40,41,7,21,$,18
d_7FED_52,40,42,7,21,$,18
d_7FED_53,40,43,7,21,$,18
d_7FED_54,40,44,7,21,$,18
d_7FED_55,40,45,7,21,$,18
d_7FED_56,40,46,7,21,$,18
d_7FED_57,40,47,7,21,$,18
d_7FED_58,40,48,7,21,$,18
d_7FED_59,40,49,7,21,$,18
d_7FED_60,40,50,7,21,$,18
d_7FED_61,40,51,7,21,$,18
d_7FED_62,40,52,7,21,$,18
d_7FED_63,40,53,7,21,$,18
d_7FED_64,40,54,7,21,$,18
d_7FED_65,40,41,7,49,$,19
d_7FED_66,40,42,7,49,$,19
d_7FED_67,40,43,7,49,$,19
d_7FED_68,40,44,7,49,$,19
d_7FED_69,40,45,7,49,$,19
d_7FED_70,40,46,7,49,$,19
d_7FED_71,40,47,7,49,$,19
