"ID","endowment","locale","treatment","wave","start_time","end_time","participant_label","link"
1,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","ce8ab47780","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=ce8ab47780"
2,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","08a69d1d7e","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=08a69d1d7e"
3,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","97890c9f29","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=97890c9f29"
4,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","2e38d4dec3","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=2e38d4dec3"
5,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","464bede305","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=464bede305"
6,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","955f5a6c6c","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=955f5a6c6c"
7,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","0436d046db","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=0436d046db"
8,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","3bdd2f100a","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=3bdd2f100a"
9,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","7ec5add189","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=7ec5add189"
10,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","131fb607b0","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=131fb607b0"
11,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","ec20ea1e60","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=ec20ea1e60"
12,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","19729dba83","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=19729dba83"
13,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","8c37d13f46","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=8c37d13f46"
14,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","824cf71eab","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=824cf71eab"
15,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","03ee26fe8c","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=03ee26fe8c"
16,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","32f1adafe8","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=32f1adafe8"
17,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","9d99371bab","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=9d99371bab"
18,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","fadbf6d2c9","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=fadbf6d2c9"
19,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","dbccd9340c","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=dbccd9340c"
20,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","bbec67b506","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=bbec67b506"
21,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","ec43969807","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=ec43969807"
22,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","f3fa57f95d","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=f3fa57f95d"
23,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","96fe920172","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=96fe920172"
24,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","678ce679a2","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=678ce679a2"
25,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","697b5baa64","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=697b5baa64"
26,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","af86b8739a","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=af86b8739a"
27,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","4aa3bdba65","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=4aa3bdba65"
28,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","02a1a4b774","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=02a1a4b774"
29,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","3dafb9b6cf","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=3dafb9b6cf"
30,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","322c56fe71","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=322c56fe71"
31,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","a8215db69e","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=a8215db69e"
32,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","8015bf37a7","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=8015bf37a7"
33,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","3980d8d54b","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=3980d8d54b"
34,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","8a399b0c82","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=8a399b0c82"
35,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","df4f08de22","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=df4f08de22"
36,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","b8c7c87f73","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=b8c7c87f73"
37,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","33fe9a7468","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=33fe9a7468"
38,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","d86f644671","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=d86f644671"
39,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","402beac568","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=402beac568"
40,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","d33fbd32cd","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=d33fbd32cd"
41,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","c90bbe5e0f","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=c90bbe5e0f"
42,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","3a9d9f5b34","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=3a9d9f5b34"
43,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","cf37bc3912","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=cf37bc3912"
44,10,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","ea3e5b72b7","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=ea3e5b72b7"
45,15,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","35fdfd6908","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=35fdfd6908"
46,5,"usa",2,4,"2020-08-31 04:01","2020-09-01 03:59","0fb4973a08","https://w4.elicitingbeliefs.org/room/w4t2/?participant_label=0fb4973a08"
